"cle","summery"
"ah0000","applying ai in market analytics, various supply chain entities to help our clients make better decisions to reduce costs and increase profits.   read my blog for better understanding of how we do that and the whole pipeline of implementing ai in market analytics."
"ah0001","data scientist with a demonstrated history of working experience in the artificial intelligence field, my expertise in technologies such as python, r, sql, machine learning, deep learning, tableau, computer vision, pandas, numpy, sklearn, flask"
"ah0002","i am a computer science graduate with a major in data science and experience in predictive machine learning models and data pre-processing. i have 1+ of experience in data wrangling, analysis and prediction using python."
"ah0003","i am a data scientist, cookie baker, hacker, and coffee-lover working at massmutual in the data science development program. with a keen interest in statistics from a young age, i have completed my undergraduate b.sc. degree in economics, mathematics and statistics, securing the first rank. i also pursued my master's in data science in liverpool, uk as a recipient of the british council india 70th anniversary scholarship. i graduated with an overall distinction, including a distinction for my master's dissertation.   my primary interest has always remained in sports, and the vast applications of data analytics in this field continued to become apparent during the course of my studies. this inspired me to focus my master's thesis on the development of a live sports analysis model, using semantic analysis of web-casting text commentary for live detection of events and momentum shifts.  while pursuing my degrees, i have also completed internships and part-time jobs, including data collection, data analysis, content writing"
"ah0004","experienced junior researcher with a demonstrated history of working in the higher education industry. skilled in python ,programming language,, computer vision, data analysis, and mathematics. strong research professional with a bs ms degree  majored in mathematics and have a minor degree in biology from indian institute of science education and research, thiruvananthapuram."
"ah0005","currently working as a data scientist at datapravid.   worked as a full-stack developer at zeksta technologies.   done internship during masters at one bit private limited.   postgraduate from pondicherry central univerisity computer science department.  interests are machine learning, artificial intelligence, and natural language processing."
"ah0006","as a data scientist at blackline, i work to develop machine learning models for financial close solutions.  my research work focuses on innovating and designing applications using machine learning, specifically deep learning technologies. i am passionate about creating efficient solutions to solve challenging problems in interdisciplinary research areas."
"ah0007","an avid learner and have recently completed master   s in data science from northeastern university, boston, ma. my interest lies in goofing around with data. the only focus is to get better at statistics, programming, wrangling, modeling, analyzing and visualizing data with each passing day.    languages  python, r, bash, sql, c++ machine learning concepts     feature selection and dimensionality reduction, regression, clustering"
"ah0008","data science student and former data storage engineer seeking summer 2020 internship. experienced developing software and analyzing data for physics and engineering projects. values transparent communication and strong relationships with stakeholders to deliver impactful results."
"ah0009","ba in mathematics with a demonstrated history in software development and data analytics. sql , r  , tableau , sas , spss , advanced excel , quick learner , team player , business analyst ,  - 1+ years financial/accounting related working experience. - bachelor   s degree in business and psychology and master's degree in business analytics. - knowledge of data cleaning, application of statistical techniques, machine learning and model evaluation to enable data-driven decision making. - experience in developing predictive performance, analytics models and algorithms. - comfortable with change and working in a fast-paced environment. - strong motivated self-starter with great communication and problem-solving skills."
"ah0010","junior data scientist working in the data science industry. skilled in data cleaning and preparation using python and working with a variety of modeling techniques to make predictions on future data."
"ah0011","each day, i apply my machine learning and statistics expertise to derive key insights across various industries, including manufacturing, retail, financial services, and healthcare, for leading global organizations. i work on multi-disciplinary teams, with data scientists, data engineers, project managers, and subject matter experts, to provide impact for these organizations by exploiting their data."
"ah0012","junior data scientist with nearly two years of relevant experience. solving real-world problems. history of working in the computer software industry. sql,python,tableau,web developer,data analysis and visualization ,machine ,deep,learning, ann,cnn,rnn .clustering analytics ,business intelligence,customer segmentation,forecasting companies behavior ,business analytics predictive modelling."
"ah0013","a committed data science and machine learning professional able of providing data driven solutions leveraging skills from3.5  years of experience and knowledge in machine learning, artificial intelligence, deep learning, neural network, sql."
"ah0014","an enthusiastic data scientist, proactive in nature, with 2+ years of experience in the information technology and services industry. skilled in ai/deep learning , machine learning, computer vision, statistics, image processing, natural language processing and web scraping."
"ah0015","data scientist and veteran leader. masters in mechatronics system engineering with a specialization in smart materials. bachelors in mechanical engineering,"
