"cle","summery"
"ch0000","a quick learner with excellent track record -always keen to learn new things -focused and punctual -detail oriented and highly organised -affluent english and writing. good communicator -leadership qualities -optimistic -trusted administrator -proficient sense of design and aesthetics"
"ch0001","i am passionate about creating products which are striking yet simple. i love working with new technologies  researching new ways to use them and incorporating them with existing techniques to see the variety of results which can be achieved. i am responsible, organized and communicative with excellent attention to detail. i am prepared to take on any challenge, regardless of the level of complexity as i constantly expand my skill-set. i push the boundaries, both personally and professionally, and thrive on the continual acquisition of knowledge."
"ch0002","reading, swimming and yoga,"
"ch0003","16+ years experienced senior interior designer with a demonstrated history of working in the hospitality industry. skilled in photo-shop, in-design, microsoft, specification writing, design management, and hospitality industry. strong operations professional with a ba focused in interior design from the art institute of las vegas."
"ch0004","designer & maker - imagine a convincing wall of buzzwords here.  please read   i rarely read or answer linkedin messages, i prefer email,"
"ch0005","new york, new york,tory burch is founder, designer and executive chairman of tory burch, an american sportswear and lifestyle brand. raised in valley forge, pennsylvania, tory graduated from the university of pennsylvania with a degree in art history, then moved to new york to pursue a career in fashion. she worked in pr & marketing for several american designers, including ralph lauren, vera wang and narciso rodriguez at loewe.   she launched tory burch in 2004 with a small boutique in manhattan  since then the brand has grown into a global business with 180 freestanding stores in cities from new york and los angeles to shanghai, milan and, paris.   in september 2015, she launched tory sport, a performance activewear collection with clothing, bags, shoes and accessories for running, studio"
"ch0006","look new job around the world.  i have team model silver and cad,azilaz,senior jewelry designer"
"ch0007","as an entrepreneur, i own and manage two highly successful companies within the design field.  established as a premier interior designer, i've designed both commercial and residential spaces for over 25 years.     my personality, brand, and designs have been featured throughout nationally recognized medias, including the following  hgtv, diy network, shop nbc, forbes magazine, mpls/st paul magazine, smartmoney, celebrity cook off, kare, fox, cbs, nbc and wcco.      designing the senses    has been the inspiration in my personal aesthetic style, from designing an entire home's ambiance to beautifully presented culinary creations. introducing this art within a public forum, i author the blog, designing the senses. i also write articles featuring interior design"
"ch0008","skill set graphics designer  * new product design * pattern engineering * footwear design & development * quality assurance * trends analysis * color combination * product sampling *prototype development"
"ch0009","extremely creative and experienced fashion design professional with extensive experience in coordinating all aspects of operations while demonstrating attention to detail and inventive qualities.       astute knowledge of product development for clothing lines as well as various computerized design programs.       excellent problem solver with strong sales analysis and reporting skills, skilled in areas of order processing, and inventory control.      hardworking, energetic, and reliable  recognized for assuming additional responsibilities.       experience interfacing with factory departments, sales reps, pr, contractors and vendors both import and domestically.      extensive knowledge of denim fabric and leather.     proficient in mac and pc, illustrator, photoshop, microsoft office."
"ch0010","best way to reach jake knapp is the inventor of the design sprint and a new york times bestselling author. he   s written two books, sprint and make time, and has coached teams at places like slack, lego, ideo, and nasa on design strategy and time management.   previously, jake helped build products like gmail, google hangouts, and microsoft encarta. he is currently among the world   s tallest designers.,"
"ch0011","i am a graphic generalist with a firm understanding of graphic designing. i love to design logo and brand identity.   my areas of expertise are logo design,brand identity,brochure design, business card design, web template design,glamour retouching,cd / dvd cover design etc.  specialties   ......................................................................................................................     logo design.      brand identity.      brochure design.      business card design.      web template design.      glamour retouching.      cd / dvd cover design. ......................................................................................................................,ashutoshjha"
"ch0012","skilled in marketing & digital strategy, art direction, and content "
"ch0013","charlotte dunagan is passionate about design. she is known for her ability to create spaces that emanate genuine sophistication, understated elegance and warmth. charlotte   s use of her world class resources far exceeds her delighted client   s expectations again and again. as a principal and owner of dunagan diverio design group, a high-end design firm based in miami, florida she and her team provides distinctive quality, exceptional design and unparalleled service.   charlotte began her formal arts educations at the mgm school of design in nice, france where she studied graphic design, fashion and interior design. building on this strong arts foundation and specializing in interior design, charlotte continued and completed her studies in 1997 at the art institute of fort lauderdale, florida with a bachelor of science in interior design. upon graduation charlotte received the most outstanding thesis and academic excellence awards.   dunagan diverio design group specializes in high end, large scale residential and boutique commercial projects in south florida, the caribbean and europe. the client is the main inspiration in creating spaces with timeless simplicity and a versatility of style that ranges from traditional to modern. dunagan diverio design group collaborates with architects from day one of the planning process to create livable spaces that balance both form and function. the firm develops long term relationships with clients gaining their trust and respect and now has a 100% referral and word of mouth business with a waiting list for future projects.,"
"ch0014","proficient subordinate engineer delivering an exceptional level of service to each clients by listening to concerns and answering questions and setting a positive example for team members by providing efficient, quality service with illustrated saga of working in the architecture and planning diligence. adroit in auto cad, construction, engineering, architecture and revit software. determined engineering professional with a be- bachelor of engineering fascinated in civil engineering from ucet (universal college of engineering and technology)-996."
"ch0015","experienced freelance graphic designer with a demonstrated history of working in the marketing and advertising industry. skilled in graphics, graphics layout, logo design, social media advertising, and social media marketing. strong arts and design professional with a bca focused in bca in multimedia from xplora design skool."
"ch0016","hello all, hope you are doing well! we pleasure to informed you ,we are providing services in solar design and drafting. we are a startup company dealing in solar design and drafting (****) takes care of the design portion of all solar designs and drafting. we tailor our designs based on the different city and county codes and regulations, allowing for a smooth submittal the first time.(*********) appreciates the time sensitive nature of a solar installation, so we work quickly and efficiently to get the designs done. we excel in quick and precise designs and building relationships with our clients as well as your installation jurisdiction. we are committed to minimizing total installed cost by offering inexpensive submittal sets that reduce material and labor expenses. we have more than 15 year experience. our services aesthetics we design solar systems that are harmonious with their surroundings. we are provide the solar attachment with roof details explain - comp shingle, flat tiles ,curve tiles ,  metal roof lat roof ,slop roof all detail solar roof plan racking details  attachment  string details 3ld and sld electrical line diagram calculation  placards modular inventor junction box disconnect racking  data sheet etc   we account for site specific parameters to maximize energy output. long term reliability a well designed system minimizes your service and maintenance and provides your customers with the peace of mind that their system will generate reliably for decades. fire and life safety thorough knowledge of fire protection engineering gives us insight to help you install safe solar systems. economy of materials our designs minimize waste and are easier to install. not only will this save you money, but it will also preserve natural resources."
"ch0017","i   m a designer with a strong focus on top-notch ui, ux, identity & motion design. i have taken part in the development of more than 50+ mobile & web projects working side by side with teams in the us, india, croatia, netherlands, czech republic, and germany. technically sophisticated and innovative design professional with six years of experience capturing the competitive advantage through interactive designs dedicated to optimising the user experience.  exceptional interpersonal communication skills leveraged by artistic talent and a dedication to meeting and exceeding all expectations in project delivery. demonstrated success influencing brand identity through creative design and content strategy for progressive and revenue generating projects from conception to completion.  notable clients & agencies i   ve worked with are  fan duel, chefstalk, foxrey, paypal, make my trip, balkan brothers, creative dash.,"
"ch0018","arthur kenzo is an industrial designer at google. his skills include industrial design, product design, user experience, and project management. his work focuses on creating meaningful product experiences that connect brands to the physical world. originally from france, where he graduated from a bachelor in product design, he received a master in advanced studies in industrial design in shanghai, where he worked for hisense, one of the top multinational electronics manufacturer based in china. arthur pursued his career in the united states, working for leading design consultancies such as lunar and fuseproject in san francisco. over the past 10 years, he has created product solutions for a broad range of client, from multinational companies to the most innovative start-ups, including samsung, paypal, cisco, hp, johnson controls, alcatel"
"ch0019","still thinking of something clever or minimally appealing to write here that   s worthy of your attention my dear friends  it might be a while...,jf_pebencbravo - a cooperative company"
"ch0020","designer who specializes in fashion, activewear, and visual communication.   staying up on the market as well as latest technology in hopes to someday bridge the gap between big technological innovation & fashion aesthetic.  waiting to be scooped up for a new challenge (large or small) and anxious to be working with others again soon!     us creatives deserve to delight in fearless design to help lift the human spirit during these rough times.  and the consumer deserves to be delighted and inspired as well!,"
"ch0021","graphic design is my passion i enjoy creating art, and taking photos, poster design visual art illustration drawing photography i love my work"
"ch0022","greater seattle area,i love collaboration and go to great lengths to guide my clients beyond their comfort zone. i strive to achieve a    flamboyance of contrast        a style that is personal and forward. i bring my cosmopolitan training to offer clients a wider perspective on space, light, and design.   i am the owner and principal of the ariana designs llc, a full-service interior and architectural design company, using the latest approaches and technology in the industry to bring both built and unbuilt spaces to life.  our effort was recognized when my team and i won the regional (puget sound) award in 2018 and national award in 2019 on the national kitchen & bath association (nkba) competition. far more important it had been recognized by the clients, as we continue to justify their trust by meeting the specific needs of each client with creative and flexible design solutions.   we believe form and function are one, and our goal is to create a space that reflects your company   s uniqueness. no project is too big or too small for us. we will work with the city to help you with building permits and be your designer for commercial, hospitality/luxury highrise, multi-family, restaurant or office project.  all you need to do is share your ideas and desires, and we   ll deliver a solution tailored specifically for you.,creativemariana"
"ch0023","i am focused on creating simple, clean and smart user interfaces while continuing to explore the ever-changing interactive world. i have over 4 years and 8 months of relevant experience. in ui/ux design, web design, mobile design, print design. i work across industries and across digital devices on application designs, e-commerce solutions and websites for businesses, large and small. design is not only my job, design is my passion."
"ch0024","athezoc is a multidisciplinary organization, based from the creative arts and design and also spiritual, philosophical and cultural realms. service extends to the following  graphics, the web, interiors, landscapes, architectural, music and literature and eventually fashion. the areas of urban planning/smart growth, restoration and re-purposing, community development, wildlife and environmental awareness and service are also important components to the work of this organization. while being a 501(c)3 non-profit there is also a separate for profit component that works directly in assisting athezoc. a portion of proceeds from the for profit organization are applied to humanitarian and environmental outreach.,"
"ch0025","rani boutique & fashion technology,fashion designer"
"ch0026","i'm an artist. welcome to my world of design. i can create & design just about anything! i can work from anywhere on any type of project. just give me a try...i am looking for new and exciting projects!,lanahtecouture, ,lanah te couture"
"ch0027","i am a product designer with deep experience designing and crafting learning platforms and information-dense web apps with in-depth experience with data, education, publishing, and media. i am adept in user research, interaction design, visual design, design systems, and user testing. i lead product design at w. w. norton & co, inc. for three years where i designed a homework platform. i most recently lead the development of large scale data collection feature.,patcartelli,"
"ch0028","i am a fashion designer - freelance from los angeles / for 17 years  if you have some work let me know  )  if anyone need my fashion tp and design let me know i can work remotely from sunshine state los angeles  i will bring sunshine with me  )  ayumi suzuki williams    i also want to start my own community and company too where all people involve will be happy and satisfied  to create simply e-commerce apparel brand that   s meaningful and have good intention. treat people good and kind + mommy friendly apparel company who can empower the women . i already have a digital marketing and social media team and an in-house production "
"ch0029","i am a ui / ux designer with strength in consumer research and the passion to excel under every circumstances. having worked in different scenarios, i was lucky to take on substantial projects single handedly and conduct all the ux processes by myself.  key skills       ability to manage ux projects single handedly as primary designer for multiple clients, taking full responsibility for the design from initial concept through to final delivery.     conducting user research, designing user workflows, documenting user stories, building wireframes and testing functional mock-ups with users.     excel in running heuristics principles to revamp applications      skills in creating user centric product     team player"
"ch0030","i'm a full-service product designer with a strong visual design background. i've worked across a range of fields including advertising, e-commerce, wearables, smart lighting, travel and television.,"
"ch0031","elise kotelnikova international interior designer and the founder of the luxe interior, a las vegas-based interior design ff & e firm dedicated to creating beautiful spaces portrays elegance and sophistication.   elise began her journey at a very young age. an extremely visual and creative interior designer, today, she specializes in luxury residential, commercial and hospitality  interiors.,"
"ch0032","a passionate ux professional with about 6+ years of experience.  i personally am inspired to design and build experiences that are useful, pleasant and meaningful. to me, good design solution comes from deep empathy of users, a good understanding of the problem, constraints and business objectives, iterations by closely incorporating user's feedback and intentional decision with solid reasoning.  technical skillset   microsoft visio, adobe photoshop, illustrator, xd , sketch, invision, principle etc.,"
"ch0033","i   ve been in love with art and design since the day i picked up my first crayon. constantly drawing, doodling  and making things as i grew up, i always knew that i wanted to pursue a creative career. art has always been my first love and i continue to practice with mediums such as painting, i have graduating in fine arts (2001-2005) with ist division from govt. college of arts sector 10 under punjab university and post-graduation in history of fine arts in the year 2007. my studies have included courses in computer science. i understand the position also requires a candidate who is team- and detail-oriented, works well under pressure, and can deal with people in departments throughout the firm. these are skills i developed both in my course work and in my recent internship.  i   ve been a professional designer  with over 7 years of experience in brand identity, web design, ui. we work closely with our clients throughout the design process. we also prefer a diverse selection of clients and projects, from small start ups to big companies with a long tradition.,"
"ch0034","eworx"
"ch0035","i am privileged to have lived the american dream. i first entered the world of fashion in 1970 when i moved to new york city with a few jersey dresses i had made in italy. just two years later, i founded the company that bears my name. in 1974, i introduced the wrap dress, which came to symbolize independence and power for generations of women. dvf is now a global luxury lifestyle brand.   as i have become empowered myself, i have dedicated my life to empowering other women through fashion, philanthropy and mentorship. as chairwoman of the council of fashion designers of america (cfda), i help to foster emerging talent in design. for more than a decade, i have served on the board of vital voices, an organization that supports female leaders and entrepreneurs around the world. in 2010, with the diller-von furstenberg family foundation, i established the dvf awards to honor and provide grants to extraordinary women who have displayed leadership, strength and courage in their commitment to their causes.   with my corporate headquarters in new york   s meatpacking district, i was proud to be involved in the campaign to save the historic high line railway and to develop the high line into what it is today. i also serve on the board of the statue of liberty   ellis island foundation and am honored to lead the effort to raise funds for the foundation, which, in partnership with the national park service, is building the new statue of liberty museum and will continue the beautification of liberty island. i am also excited to serve on the board of the shed, the new center for artistic and cultural innovation in new york city"
"ch0036","experienced visual designer with a budding demonstrated history of working in the design industry. skilled in and continuing to develop my craft through photography, studio lighting, design, advertising, typography, and film. bachelor of fine art focused in advertising design & motion media from savannah college of art and design. if you're interested in collaborating drop me a line.,lamonenigma"
"ch0037","experienced designer with a demonstrated history of working in the transportation design and renewables manufacturing industry.  skilled in  -digital and traditional sketching -autodesk alias -solidworks  -creo -plastic part dfma -prototyping -on-board diagnostics -composite mold design.   strong arts and design professional with a bachelor of fine arts (bfa) focused in industrial and transportation design from academy of art university.,mcinnis design"
"ch0038","i have been working in software industry for 8+ years, with my most recent experience being a sr.ui/ux  designer at software ag. i can write solid and well organized code from the scratch with a focus on a user friendly environment.   i have a great passion for design which always help me to seek new ideas and find solutions that are sustainable and re-usable. i possess valuable skills such as good communication and high creativity that i believe make me  best suited for the position of ui/ux or front-end developer in your company"
"ch0039","in the past 9 years, i had a background in working with an excellent chinese company, tencent. after three years of web design & new media master program, i was responsible for end-to-end ux/ui design for a start-up company, boostinsider for one year. i   ve been working at sap ariba (focusing on guiding buying, b2b market place)  and sap c4c team for 4 years, i currently have provided ux/ui design solutions for sales and service/c4c products including contract lifecycle management (clm), configure pricing and quote (cpq), guided selling & if design award  sap sales cloud native apps.  i have a background of working in 2c   s products, and 2b's company, plus i have years of aesthetic sensibilities, visual design skills, and have lots of ux design experience. i can integrate into the end-to-end design work with various aspects of product design thinking also with my passion for design.,"
"ch0040","founder and creator of m.r. walls, an architectural product blending design, digital fabrication with installation assembly.   inspired by nature   s unique and complex forms, mario designed his own building systems.  his homes contain structures that undulate like ocean waves. his interior wall surfaces are carved with intricate gradient lines that evoke the desire to touch them.     it   s something like a second nature,    he says.    nature never goes out of style.    his designs are organic, wholly variable and scripted like blocks of dna.   defining a new realm of the urban landscape mario draws on over a decade of designer research.,marioromanoca,"
"ch0041",",december 2,i'm a ux /ui designer and creative director with real state, sports, hospitality, ecommerce domain expertise. i started my career 6 years ago, as a web designer and front end developer for local startups, however, did not take me long to top the lead user experience and interface chart, bringing impact via innovation to international startups and established corporations.   for 6 years of success and experience, i've advocated for my users, iterated and launched big ideas (leading edge websites & mobile applications) via a team-focused, agile environment, collaborative management style - and designed solutions and communication strategies to help my clients boost their services quality, increase their revenue, size, and reach.  currently leading a team of professional creatives and expert developers who love to create exciting stuff everyday. i offer a proven ability to conduct creative analysis and design best-fit solutions including         creative direction      interaction design      user experience design      user interface design      website design and development       app design and development      graphic design   as a detail-oriented team lead with a passion for excellence, i am adept at listening to your needs, then analyzing and implementing the best solution.  i promise a clear communication and i guarantee work satisfaction. thank you in advance for your consideration."
"ch0042","currently a very driven architect, i am focused on setting goals for the near future and achieving them. i believe that punctuality is the key to success in any given field. i am definitely the 'thinking-tank' and am a little obsessed with working on things with a plan and thus, you'd always find me with a to-do list. apart from that, i come with a lot of sarcasm, fun and a strong cup of coffee. studying architecture has opened me up not just in terms or 'spaces' or 'built forms but also our beautiful culture and its roots, human psychology and sensitivity toward nature's gifts to us. its made me believe that architecture really is the master of all arts! apart from architecture, i have interests in a variety of other things as well. i am a holder of a senior diploma in  indian classical dance and have organised, performed in and choreographed many events at my school level. i also have a flair for writing, fashion writing to be more precise! i am a personal style blogger at thebasicb, recording my endeavours and take on fashion with a very mood oriented approach.  i feel i am disciplined and determined and can work efficiently without compromising at anything.,"
"ch0043","i am  proficient with website designing, psd,  psd to html, html 5, css, css3, parallax, responsive themes, bootstrap. i have developed and designed a complete suite of business and personal web design consisting of logo design, business cards, flyers, invitation card design as well as graphics, web banners."
"ch0044","i am prity, very passionate for every creative activities. as a designer, i love to create such things that people love. that is my primary goal. skills   ui/ux designer,graphic design, logo design, creative web template, mobile app design for andriod and ios. and create wireframe and prototype for web & app. tools   adobe creative suites. ms office. and prototype tools."
"ch0045","thanks for visiting my profile! yagnik is a brilliant intelligent and great proactivity person and an effective communicator and visionary. he has built a strong (and deserved) reputation as someone with vision, diligence and honour. yagnik is able to address and solve complex technical problems with excellent results.  currently i am working as a freelancer and i m looking freelancing work, if u have freelance work let me know i am interested to work with you. graphics designer and responsible for  generating innovative concepts, brand designing, generate design presentations, logos and web designing.  i am  studies bsc in bmg visual effect and animation at frameboxx institute. i am a graphics designer with bachelor   s degree with professional experience designing logos, corporate identity, catalogs, newsletters, presentations, sales collaterals, and advertisements. additionally, i have on hand experience with several designing software like coral draw, photoshop, illustrator,"
"ch0046","we are a progressive group of designers, specializing in various sectors of life style designing. nine years of establishing in creative designing and still in the process of evolution, we assure and ensure to employ the idea of optimum utility and eco-friendly in all pour, in the projects undertaken.our new trend of innovations in eco-friendly is our driving force behind our business. we determine the buying behavior of our customers according to new trends.as the country is betting its economic future on the principle that buildings that not only reflect who we are, they also shape who we become. this changing attitude helps us to create designs of your dreams into reality with comfort and ambience in a cost effective manner. with space management and planning, we create an illusion of more space with colours, lightings and shapeswe are a group of architect and designers who undertake a range of projects including big-budget commercial schemes and high profile public buildings with most challenging and satisfying commission.we have the following projects to our credit.interiors  a) residential projects  villas and bungalow ' b) commercial projects  offices & showroom c) exhibition stallsexterior projects  a) elevations b) garden layouts,richa_jatale,"
"ch0047","20 + years experience in facility management, interior design, corporate real estate design & construction, construction management, program management, facility planning, operations and strategic planning.   responsible for time equities inc. entire global facilities portfolio of approximately 32.8 million square feet of commercial, residential, industrial, office and retail property     including over 5,000 multi-family apartment units. with properties throughout the us, northern europe, the canadian providences, anguilla, germany, italy and the netherlands.  - residential and commercial interior design & construction - owner   s representative - commercial class a, b & c properties with square footage from 450 sq ft.     2.5m+ sq ft. - primary point of contact for the sale of large portfolios of real estate     greater new york city area - assisted with vast facility renovations, dispositions, relocations"
"ch0048","designing is my passion..."
"ch0049","available for remote / fulltime / freelance / contract work   freelance graphic designer,remote freelance graphic designer"
"ch0050","producer, experienced graphic designer,"
"ch0051","staging and preparing, appealing to buyers in real estate marketplace,"
"ch0052","hello! i am working as a freelance graphic designer and web designer and have an exceptional knowledge in developing business logos, graphic, i am passionate and enthusiastic to design and have the capability to create extraordinary designs with high visual impact according to the needs and requirements of the clients.  i find great people and find them great careers. this all starts with a conversation. along the way, we'll find it together and uncover their values, personal aspirations, and next career move.,"
"ch0053","accomplished applications designer within the technological field, holding over seven years of proven experience creating conceptualized designs, functional demos and wireframes for presentations. highly skilled in html and css programming with a strong background in storyboard/motion design for high-end clients. outstanding managerial ability, demonstrating strong communication skills while leading, motivating and training a creative team in order to provide the highest quality service to clients. excellent creative and analytical capabilities providing quick, accurate, and positive visual results. strong work ethic, consistently adhering to company policies and procedures.   senior ux/ui mobile designer     supported business development team with wireframes and conceptual designs for both internal and external mobile financial products (ios) & ( android ).     managed functional demos for internal stakeholders and external partners.     established mobile design process and pipeline.     supported the business teams with functional ui/ux concepts.      created brand concepts for clients.  senior web designer     created wireframes and front-end design for client presentations.     managed and updated front end design for existing client portals.      provided front end html and css production programming for development teams     supported the marketing department with brand creation, trade show collateral, and client demos and presentations.      managed the creation of websites, as well as interactive and mobile projects.  interactive designer     produced web and mobile conceptual front end designs.     supported the development teams with front end html and css production for all projects.     managed contractors and external vendors per project.     created storyboard and motion design for client brands.     developed and implemented all stages of banner ad execution for add networks.      supported the account management team in client direction for new business ideals.,"
"ch0054","i'm an ui/ux designer from hyderabad, india. i am creative by nature and continuously push myself professionally. i am loyal, honest and seek to work with like minded people. i enjoy giving my customers an easy and stress-free process that provides all ui elements in a manner that produces results for your business.  after taking care of your website design, development, i can also sort out your web hosting, web maintenance and ensure your website is mobile responsive! all these features combined will produce the results that will rocket your business to the next level!"
"ch0055","i am a digital product designer with a background in computer science. i love complex problems and can't wait to ask questions.,_lillllifacebook"
"ch0056","as a ui/ux designer, i have helped enterprises and startups from diverse industries create a modernistic yet rooted design language that helps them establish a known identity in their field.   to keep it simple, i speak in empathic concepts and frameworks to design, build, and grow engaging, authentic, and meaningful experiences. i take risks and i make mistakes. learn, rinse, and repeat.  my interests lie within designing for sustainability, accessibility, and maintaining a harmonious relationship between the analog and physical world for the future to come. using strategic and user-centered design methods, i aim to create experiences that mimic the natural world by transforming our exclusive memories into shareable journeys.  - designing for various ui + ux and branding and illustration projects. working independently and with a team as per requirement. - proficient in rapid transition of requirements in to user interface designs  key specialities   - ios apps - andriod apps - web interface designing - logos, web banners designing - brochures, posters designing - mobile user interface design,imharjap"
"ch0057","i am a ux designer and researcher. i create impactful and enriching experiences which bring joy to people's lives through a user centered, data-driven design process. i help drive product and design decisions through conducting user research, designing wireframes and prototypes, and performing usability testing to further iterate upon them."
"ch0058","march 3, div  a time bound creative minded individual with an ability to put vision on screen, beyond boundaries of expectations and creativity. a playful ux/ui designer who would never settle for less, when it comes to visual appeals. for each of his projects he ensures optimum level of user engagement and innovative experience while making sure of client/customers    derivatives are meet. being blessed with an ability to see farfetched technological trends, has an x-ray vision to sense half way inputs and to complete them as a full picture beyond the expectation of requirements."
"ch0059","design work as documentation as under client requirement  ...like   my projects definition as  e-commerce, pic-reminder, medication diary, communication, digital calculator, recording, pdf viewer.  i am seeking a position within an organization or design firm in user experience (ux) and/or user interface design (ui). i will also convert my ui design into pixel perfect.  i call there me as psd for developer.  i would like to work together with window's software or mac's software.  my aim is to create better interfaces and experiences for the user, making the application   s and technology easier for the user. simplifying communication barriers by bridging the gap between end-users, designers and developers."
"ch0060","richard devine electronic artist and sound designer specializing in musical composition, mnemonics, field recording, sound effects, loop libraries, instrument patch design, specialized sound design for t.v./film, web media, and virtual reality.  during the past three years, richard devine has remixed top warp artists like aphex twin and mike patton (faith no more). he has released 6 full-length albums on schematic, warp, asphodel, and sublight records and has performed his own ear-tearing music mayhem worldwide. based from atlanta, georgia he has done film score work for touchstone pictures (with john hues & kyle cooper). he has also collaborated with bt (brian transeau on movie    surveillance    directed by adam rifkin, odopod, elias arts, wieden & kennedy, akqa inc., and has worked on commercials for the nike shoe company and worked with various companies doing sound design for audi"
"ch0061","experienced search engine optimization analyst with a demonstrated history of working in the information technology and services industry. skilled in search engine optimization (seo), google adwords, keyword research, google webmaster tools, and social media optimization (smo),"
"ch0062","vehicles reimagined. rezvani motors is a designer and manufacture of exotic vehicles. rezvani motors cars have a chiseled exterior design and offer significant power upgrades and performance levels. go beyond the ordinary."
